delivery_id,delivery_number,so_id,delivery_date,quantity_delivered,warehouse_id,driver_name,vehicle_number,notes
DO-00000001,DO-00000001,SO-00000001,2025-05-19,25,WH-003,Mary Mccormick,ABC-1098,
DO-00000002,DO-00000002,SO-00000002,2025-03-30,2,WH-003,Jody Johnson,ABC-3803,
DO-00000003,DO-00000003,SO-00000003,2024-08-08,25,WH-003,Gregory Murray,XYZ-4802,
DO-00000004,DO-00000004,SO-00000004,2025-06-24,1,WH-001,Randy Munoz,ABC-2232,
DO-00000005,DO-00000005,SO-00000005,2023-10-22,2,WH-002,Brian Roth,XYZ-3202,
DO-00000006,DO-00000006,SO-00000006,2024-01-04,5,WH-001,Erika Banks,TRK-6305,
DO-00000007,DO-00000007,SO-00000006,2024-01-07,10,WH-001,Kim Morales,XYZ-2156,
DO-00000008,DO-00000008,SO-00000007,2023-10-25,10,WH-001,Marc Kelley,TRK-6386,
DO-00000009,DO-00000009,SO-00000008,2024-10-19,3,WH-002,Janet Peterson,XYZ-4052,
DO-00000010,DO-00000010,SO-00000008,2024-10-19,22,WH-002,Leslie Mueller,XYZ-2789,
DO-00000011,DO-00000011,SO-00000009,2024-08-05,25,WH-002,Richard Stephens,ABC-9128,
DO-00000012,DO-00000012,SO-00000010,2024-10-25,2,WH-002,Matthew Miller,TRK-3234,
DO-00000013,DO-00000013,SO-00000011,2023-09-02,1,WH-001,Laura Tucker,XYZ-1054,
DO-00000014,DO-00000014,SO-00000011,2023-08-31,4,WH-001,Julie Peters,XYZ-6000,
DO-00000015,DO-00000015,SO-00000013,2023-12-29,2,WH-003,Casey Blanchard,ABC-3579,
DO-00000016,DO-00000016,SO-00000016,2024-06-29,25,WH-001,Brian Cervantes,TRK-9060,
DO-00000017,DO-00000017,SO-00000017,2025-05-10,10,WH-003,Jamie Snyder,TRK-4815,
DO-00000018,DO-00000018,SO-00000018,2025-07-01,5,WH-003,Ann Montoya,ABC-6226,
DO-00000019,DO-00000019,SO-00000019,2025-06-12,5,WH-001,Stephanie Fields,ABC-9182,
DO-00000020,DO-00000020,SO-00000020,2023-10-03,5,WH-003,Charles Hernandez,TRK-9903,
DO-00000021,DO-00000021,SO-00000020,2023-10-03,5,WH-003,Jean Lane,XYZ-3804,
DO-00000022,DO-00000022,SO-00000021,2024-07-18,50,WH-001,Michael Stewart,XYZ-1860,
DO-00000023,DO-00000023,SO-00000022,2024-12-25,50,WH-003,Susan Torres,XYZ-2214,
DO-00000024,DO-00000024,SO-00000023,2025-01-13,5,WH-001,Jessica Haas,TRK-9860,
DO-00000025,DO-00000025,SO-00000024,2025-07-07,10,WH-001,Brandon Smith,TRK-4537,
DO-00000026,DO-00000026,SO-00000025,2023-12-21,1,WH-001,Mrs. Bethany Phillips,XYZ-4665,
DO-00000027,DO-00000027,SO-00000027,2023-12-31,1,WH-002,Joshua Brown,ABC-3301,
DO-00000028,DO-00000028,SO-00000027,2024-01-01,4,WH-002,Samantha Howard,TRK-3207,
DO-00000029,DO-00000029,SO-00000028,2023-07-27,25,WH-003,Sharon Young,TRK-6753,
DO-00000030,DO-00000030,SO-00000029,2024-07-15,1,WH-002,Jennifer Flores,ABC-4167,
DO-00000031,DO-00000031,SO-00000029,2024-07-15,4,WH-002,James Gardner,TRK-3540,
DO-00000032,DO-00000032,SO-00000030,2024-01-23,5,WH-003,Karen Lopez,TRK-6256,
DO-00000033,DO-00000033,SO-00000030,2024-01-22,20,WH-003,Tim Larsen,ABC-9415,
DO-00000034,DO-00000034,SO-00000031,2024-04-01,5,WH-001,Zachary Santiago,TRK-1846,
DO-00000035,DO-00000035,SO-00000031,2024-03-30,5,WH-001,Benjamin Smith,TRK-1675,
DO-00000036,DO-00000036,SO-00000032,2024-11-05,2,WH-003,Katelyn Kim,ABC-5437,
DO-00000037,DO-00000037,SO-00000033,2024-01-17,15,WH-002,Angela May MD,TRK-2450,
DO-00000038,DO-00000038,SO-00000034,2024-12-26,20,WH-002,Richard Munoz,XYZ-1083,
DO-00000039,DO-00000039,SO-00000035,2025-04-27,5,WH-002,Christopher Hicks,ABC-9569,
DO-00000040,DO-00000040,SO-00000035,2025-04-27,15,WH-002,Joanna Kelly,TRK-6262,
DO-00000041,DO-00000041,SO-00000036,2024-01-05,5,WH-002,Larry Lane,ABC-4227,
DO-00000042,DO-00000042,SO-00000037,2025-02-21,20,WH-003,Cynthia Shaw,XYZ-1781,
DO-00000043,DO-00000043,SO-00000038,2025-04-21,50,WH-002,Joshua Richardson,XYZ-8820,
DO-00000044,DO-00000044,SO-00000039,2024-12-29,20,WH-003,Laura Bush,ABC-9668,
DO-00000045,DO-00000045,SO-00000040,2025-04-25,15,WH-001,John Vaughn,ABC-1968,
DO-00000046,DO-00000046,SO-00000041,2024-12-29,10,WH-003,Nicholas Terrell,ABC-3508,
DO-00000047,DO-00000047,SO-00000042,2025-05-26,9,WH-002,Dr. Julie Miller,ABC-8134,
DO-00000048,DO-00000048,SO-00000042,2025-05-24,16,WH-002,Ann Kennedy,TRK-8480,
DO-00000049,DO-00000049,SO-00000043,2025-01-09,20,WH-002,Toni Miller,TRK-5609,
DO-00000050,DO-00000050,SO-00000044,2025-04-17,20,WH-001,Rebecca Edwards,XYZ-2341,
DO-00000051,DO-00000051,SO-00000045,2025-06-21,2,WH-003,Greg Osborne,TRK-4359,
DO-00000052,DO-00000052,SO-00000045,2025-06-20,13,WH-003,Jose Harrison,XYZ-5550,
DO-00000053,DO-00000053,SO-00000046,2023-09-26,15,WH-002,Jennifer Yu,TRK-2408,
DO-00000054,DO-00000054,SO-00000048,2025-04-04,10,WH-003,Donna Johnson,TRK-5467,
DO-00000055,DO-00000055,SO-00000049,2024-01-11,20,WH-002,Nicole Acosta,TRK-6310,
DO-00000056,DO-00000056,SO-00000050,2023-08-01,20,WH-003,Amy Kennedy,ABC-3205,
DO-00000057,DO-00000057,SO-00000051,2023-08-20,10,WH-001,Anthony Mooney,ABC-9865,
DO-00000058,DO-00000058,SO-00000052,2024-09-15,10,WH-001,Lori Mitchell,XYZ-3551,
DO-00000059,DO-00000059,SO-00000053,2023-11-06,50,WH-002,Jonathan York,TRK-8584,
DO-00000060,DO-00000060,SO-00000054,2023-08-12,50,WH-001,Casey Campbell,TRK-6632,
DO-00000061,DO-00000061,SO-00000055,2024-01-22,6,WH-002,Alexis Rodriguez,ABC-5201,
DO-00000062,DO-00000062,SO-00000055,2024-01-20,14,WH-002,Kevin Hernandez,ABC-9326,
DO-00000063,DO-00000063,SO-00000056,2023-11-24,10,WH-002,Robert Green,XYZ-1501,
DO-00000064,DO-00000064,SO-00000057,2023-09-22,25,WH-002,Kari Lloyd,XYZ-8822,
DO-00000065,DO-00000065,SO-00000058,2025-06-28,1,WH-001,Grace Miller,TRK-2971,
DO-00000066,DO-00000066,SO-00000058,2025-06-23,9,WH-001,Timothy Moore,ABC-3566,
DO-00000067,DO-00000067,SO-00000059,2023-10-31,10,WH-001,Wyatt Townsend II,XYZ-6487,
DO-00000068,DO-00000068,SO-00000060,2023-11-15,2,WH-003,Mark Clark,XYZ-2162,
DO-00000069,DO-00000069,SO-00000061,2025-05-16,25,WH-001,Haley May,TRK-4637,
DO-00000070,DO-00000070,SO-00000062,2024-06-28,1,WH-003,Audrey Jackson,TRK-4415,
DO-00000071,DO-00000071,SO-00000063,2024-05-27,5,WH-001,Eric Reese,XYZ-3645,
DO-00000072,DO-00000072,SO-00000064,2024-07-17,6,WH-001,Kim James,XYZ-9050,
DO-00000073,DO-00000073,SO-00000064,2024-07-20,14,WH-001,Karen Thomas,XYZ-6210,
DO-00000074,DO-00000074,SO-00000065,2024-12-19,6,WH-003,Alexandra Ho,XYZ-7100,
DO-00000075,DO-00000075,SO-00000065,2024-12-16,9,WH-003,Michael Nixon,XYZ-8505,
DO-00000076,DO-00000076,SO-00000066,2024-12-31,1,WH-003,Amanda Hardin,XYZ-1118,
DO-00000077,DO-00000077,SO-00000066,2025-01-04,1,WH-003,Tina Reynolds,TRK-8709,
DO-00000078,DO-00000078,SO-00000067,2025-07-09,4,WH-001,Shannon Rogers,XYZ-1420,
DO-00000079,DO-00000079,SO-00000067,2025-07-10,6,WH-001,Brett Pena,XYZ-2734,
DO-00000080,DO-00000080,SO-00000068,2024-11-21,5,WH-002,Raymond Curry,ABC-4215,
