supplier_id,supplier_name,country,supplier_type,contact_name,email,phone,is_active
SUP-00000001,Global Tech Supply,South Korea,Importer,Allison Hill,donaldgarcia@mcclain.com,833-589-0838,1
SUP-00000002,Prime Industrial,Japan,Wholesaler,Donald Booth,helenpeterson@lewis.com,361-855-9407,1
SUP-00000003,FastParts Direct,Australia,Importer,Edward Fuller,barbara10@perez.com,664-375-2553,1
SUP-00000004,QualitySource Inc,Canada,Distributor,Carolyn Daniel,stevennelson@watts.com,505.964.1395,1
SUP-00000005,Reliable Components,Spain,Manufacturer,Thomas Ellis,donald88@burgess-patterson.org,(353)828-7101x2269,1
SUP-00000006,Premier Materials,Japan,Importer,Zachary Rice,frazierdanny@potter.com,(727)404-8281x48932,1
SUP-00000007,ValueFirst Supply,Netherlands,Distributor,Paula Moreno,georgetracy@hickman.com,4399117182,1
SUP-00000008,Alliance Trading,South Korea,Manufacturer,Carmen Rose,ibrandt@vaughn.com,587.213.3150x983,1
SUP-00000009,Summit Distribution,South Korea,Wholesaler,Mark Perez,heathchad@ramirez.com,+1-329-397-3763,1
SUP-00000010,Peak Performance,Netherlands,Importer,Heather Jenkins,nuneztracey@brown.com,633-938-7262,1
SUP-00000011,Elite Imports,South Korea,Wholesaler,Thomas Ramos,williamsyvette@novak.com,(977)436-0260x64746,1
SUP-00000012,Advanced Logistics,Canada,Distributor,Daniel Brown,adkinsbrian@woods.com,312.819.1361x93990,1
SUP-00000013,Central Supplies,United States,Manufacturer,Krystal Stewart,james53@foster-powers.com,651.407.9911x838,1
SUP-00000014,United Parts,United Kingdom,Wholesaler,Shirley Suarez,justin78@turner.net,4846124118,1
SUP-00000015,National Distribution,Canada,Manufacturer,Daniel Cooper,william40@walters.com,2523427868,1
SUP-00000016,Pacific Trading Co,Germany,Distributor,Stephen Mckee,davenportbrandi@jordan.com,(405)433-1586x923,1
SUP-00000017,Atlantic Supply,Italy,Wholesaler,Allison Doyle,kimberly63@moore-haynes.biz,2735375433,1
SUP-00000018,Mountain Components,France,Wholesaler,Donald Jones,michael86@zavala.com,329-840-1965x569,1
SUP-00000019,Valley Industrial,Japan,Distributor,Cheryl Williams,zsmith@mcdaniel.com,(861)659-5148x465,1
